Company,Location,PostDate,Summary,Salary,jobUrl
Groupe Demeter,Paris (75)+ 1 lieu,Recrutement régulier,"Solution data science type Dataiku.
Il accompagne ses clients sur leur grands projets de transformation grâce à ses domaines d'excellence tels que la Data, le…",De 40 000 € à 70 000 € par an,https://fr.indeed.com/company/GROUPE-DEMETER/jobs/Data-Scientist-fe7977bfe8433408?fccid=97050cc4f7717b8f&vjs=3
SNCF,Paris (75),Postedil y a 2 jours,Des analyses de données sur des thématiques définies avec les responsables production des différentes Directions des Zones Sûreté.,,https://fr.indeed.com/rc/clk?jk=f074ccd44adaa6af&fccid=9213c254816f46e8&vjs=3
McKinsey & Company,75008 Paris,Postedil y a 30+ jours,"Based in Paris and working across the region, as a consultant data scientist you will work closely with our clients, data engineers and all types of McKinsey…",Temps plein,https://fr.indeed.com/rc/clk?jk=02d4e4e7c8e2550c&fccid=6576e7250aa78c3c&vjs=3
Dalkia,Courbevoie (92),Postedil y a 5 jours,"Formulation des besoins des data scientists d’amélioration des accès aux données.
Participation au cadrage des use cases data science.",Temps plein,https://fr.indeed.com/rc/clk?jk=af73d3beb2d4ee46&fccid=7a9338296d17bca1&vjs=3
Natan (SSII),Paris (75),Postedil y a 1 jour,"Vous retrouverez une *ESN ambitieuse portée par le goût de l’excellence.*.
Au sein du département en charge d'automatisation transverse des besoins de la…",De 55 000 € à 70 000 € par an,https://fr.indeed.com/company/NATAN/jobs/Data-Scientist-0e5a93cd066c9a5d?fccid=a7c135c964833e34&vjs=3
NEO2,Paris (75),Postedil y a 15 jours,"Pouvoir au besoin contribuer aux sujets en tant que data scientist.
Chaque étape du cycle de vie d'un projet de data science sur des données.",De 38 000 € à 65 000 € par an,https://fr.indeed.com/company/NEO2/jobs/Data-Scientist-959efd2f7436af75?fccid=47578cf70001ca7c&vjs=3
Centre Léon Bérard - Collective Thinking,Télétravail hybride à 75010 Paris 10e,Postedil y a 7 jours,"Plus de 200 médecins suivent 34 400 patients chaque année.
Ces projets bénéficient de notre très importante base de données de plus de 340 000 patients …",42 000 € par an,https://fr.indeed.com/company/Collective-Thinking/jobs/Data-Scientist-Nlp-9e343d77da5af326?fccid=dc0cfeb7d93f1705&vjs=3
Collective Thinking,75010 Paris 10e,EmployerDernière activité : il y a 15 jours,Collective Thinking est une start-up française spécialisée en Intelligence Artificielle (Deep Learning) et en analyse sémantique en santé.,Temps plein,https://fr.indeed.com/company/Collective-Thinking/jobs/Data-Scientist-f486c1c5c196031d?fccid=dc0cfeb7d93f1705&vjs=3
WeSmart,Paris (75),Postedil y a 10 jours,"Un minimum d'un an d'expérience professionnelle en tant que data scientist ou en analytique.
Il aura la responsabilité de la supervision de nombreux projets…",De 45 000 € à 65 000 € par an,https://fr.indeed.com/rc/clk?jk=95f7320b7ddf6667&fccid=62ff9e4b40652fdc&vjs=3
HERMES INTERNATIONAL,Paris (75),Postedil y a 15 jours,"Formation supérieur (universitaire, école de commerce ou ingénieur), avec une spécialisation en data science.
Collecter les besoins d’analyse auprès des métiers…",,https://fr.indeed.com/rc/clk?jk=cb9d442114197f90&fccid=de640f613b6c0608&vjs=3
Danone,Rueil-Malmaison (92),Postedil y a 27 jours,"Explore the potential of a raw data set.
Experience in data pipeline and industrialization is a plus.
Our target is to work for all of Danone’s businesses and…",,https://fr.indeed.com/rc/clk?jk=37279b1cb16d48f7&fccid=1d449a8e14af7cf3&vjs=3
Simon-Kucher & Partners,Paris (75),Postedil y a 30+ jours,"Intégrer une équipe internationale d’experts en data science et collaborer avec les équipes conseil aux succès des missions.
Data Scientist (m/f/d) - Paris.",,https://fr.indeed.com/rc/clk?jk=c7641f7c615ecb9d&fccid=482d654dcc2989fd&vjs=3
MP DATA,Paris 1er (75),Postedil y a 8 jours,"Dans tous les cas, vous êtes passionné(e) par la data et la tech.
Rejoins notre Équipe d'experts dans la *data/l'IA spécialisés en NLP* (plus d'une vingtaine de…",De 38 000 € à 60 000 € par an,https://fr.indeed.com/company/MP-DATA/jobs/Data-Scientist-Nlp-d531671ea01efa55?fccid=9b246b5aaacc1ef2&vjs=3
Systemathics,La Défense (92),Postedil y a 30+ jours,"Understand challenges of market data sourcing and processing.
Expose results of the data analysis in publications.
Knowledge of Jupyter framework appreciated.",,https://fr.indeed.com/rc/clk?jk=6bbe354e30181389&fccid=3c5200929be90303&vjs=3
MP Data,Paris (75),EmployerDernière activité : il y a 15 jours,"Accompagné par un Lead Data Scientist, vous monterez en compétences sur le management des flux de données (pré processing, feature engineering...) et la…",De 3 000 € à 4 500 € par mois,https://fr.indeed.com/company/MP-Data/jobs/Data-Scientist-c5be72a120840297?fccid=1f2bb29709d5af8a&vjs=3
Groupe Pierre & Vacances - Center Parcs,Paris (75),Postedil y a 14 jours,"You are comfortable in manipulating and analyzing complex data from varying sources.
Explain sophisticated data science concepts and their implications to…",Temps plein,https://fr.indeed.com/rc/clk?jk=9090b235e09ef855&fccid=600bea333954f404&vjs=3
HARNHAM,Paris 2e (75),PostedAujourd'hui,"50 - 60 k€ brut annuel.
Élaboration d’élaborer d’algorithmes innovant permettant l’exploitation des données.
Bac +4/5 École d’ingénieur ou diplôme équivalent.",,https://fr.indeed.com/rc/clk?jk=a35763a4eea2246e&fccid=d72eb0548d91249c&vjs=3
AZAP,Paris (75),Postedil y a 30+ jours,"Dans le cadre de sa croissance, venez rejoindre notre équipe de 35 collaborateurs en tant que Chef de Projet / Data Analyst.",,https://fr.indeed.com/rc/clk?jk=334fd419e11bc35f&fccid=b6dd2b3b114db233&vjs=3
Aquila Consulting,Paris (75),Postedil y a 30+ jours,"À votre bagage technique (data mining et visualisation de données techniques, l'analyse graphique, l'analyse statistique,.
Création de plans par drones.",,https://fr.indeed.com/rc/clk?jk=11d712fa01f70299&fccid=5b684c1ade1de442&vjs=3
Content Square,Paris (75),Postedil y a 30+ jours,"Ability to translate business needs into data science requirements.
Experience in working with big data and industrializing ML algorithms.",Temps plein,https://fr.indeed.com/rc/clk?jk=b5d7cbbf72c3df34&fccid=dcee946d6190dc91&vjs=3
Ubisoft,Paris (75),Postedil y a 5 jours,"Vous rejoindrez l’équipe Game Analytics tant que Data Analyst (H/F/NB), et vous travaillerez plus particulièrement au sein de l'équipe Brand Performance de l'un…",Temps plein,https://fr.indeed.com/rc/clk?jk=a4420abf63fb7443&fccid=237908de095b6446&vjs=3
Harwell Management,Paris (75),Postedil y a 30+ jours,"Afin d’accompagner notre croissance, nous recherchons un(e) Data Scientist afin d’intervenir chez nos prestigieux clients issus du monde bancaire, financier et…",,https://fr.indeed.com/rc/clk?jk=61e19f0af0c174b3&fccid=a116cfc03daeee0b&vjs=3
Datadog,Paris (75),Postedil y a 30+ jours,"You have experience working with data and building models, and applying machine learning to real business problems.",,https://fr.indeed.com/rc/clk?jk=d741c0add1e620b2&fccid=448951d0ddf03e0c&vjs=3
MP DATA,Boulogne-Billancourt (92),Postedil y a 8 jours,Rejoins notre Équipe d'experts dans la *data/l'IA appliquée aux domaine des transports écologiques* (plus d'une vingtaine de cas d'usages !).,À partir de 42 000 € par an,https://fr.indeed.com/company/MP-DATA/jobs/Data-Scientist-20dce4d442dd042d?fccid=9b246b5aaacc1ef2&vjs=3
Richemont,Paris (75),Postedil y a 4 jours,"Assurer l’adaptation de vos produits data clients : communiquer en interne sur les fonctionnalités, leurs évolutions, et la vision qu'elles portent.",,https://fr.indeed.com/rc/clk?jk=91f87861df7fa652&fccid=8e2946f10f334da4&vjs=3
Air Liquide,Les Loges-en-Josas (78),Postedil y a 1 jour,"Présent dans 78 pays avec 64 500 collaborateurs, le Groupe sert plus de 3,8 millions de clients et de patients.",,https://fr.indeed.com/rc/clk?jk=dd45d374e3437bce&fccid=0bfc42f123844c30&vjs=3
Aquila Consulting,Courbevoie (92),Postedil y a 30+ jours,"Votre bagage technique (data mining et visualisation de données techniques, l'analyse graphique, l'analyse statistique, le machine.",,https://fr.indeed.com/rc/clk?jk=aef0c7f6f7c3744e&fccid=5b684c1ade1de442&vjs=3
Artefact,Paris (75),Postedil y a 30+ jours,"Strong experience and knowledge of data processing, data modelling, algorithms, and data architecture would be greatly appreciated;",,https://fr.indeed.com/rc/clk?jk=4dd36e6c951f7278&fccid=c1f750eaef1d79c4&vjs=3
MP DATA,92400 Courbevoie,Postedil y a 8 jours,Rejoins notre Équipe d'experts dans la *data/l'IA appliquée à la transition énergétique* (plus de 30 cas d'usages !) basée en région parisienne.,À partir de 40 000 € par an,https://fr.indeed.com/company/MP-DATA/jobs/Data-Scientist-c84ddb46c1ebc492?fccid=9b246b5aaacc1ef2&vjs=3
Harnham,Paris (75),Postedil y a 2 jours,"Cette start-up à forte orientation marketing recherche un Data Scientist pour les accompagner sur des sujets de segmentation client, développement d'algorithmes…",De 50 000 € à 60 000 € par an,https://fr.indeed.com/rc/clk?jk=0140c655c34ea441&fccid=d72eb0548d91249c&vjs=3
